layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,target_dir,status,reason,pocket_source,n_chunks,sampling_seed,seed_base,lane,sampled_from_n,previous_target_dir,n_cached_scores,n_cached_poses
L1,O75385,30,5,25,510,10,500,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75385,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75385/O75385_pocket.lmdb,3,7098996424376647940,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75385,0,0
L1,O75417,30,5,25,510,10,500,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75417,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75417/O75417_pocket.lmdb,3,17930097278361666937,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75417,0,0
L1,O75460,30,5,25,1734,34,1700,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75460,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75460/O75460_pocket.lmdb,3,14068176265985637521,20260908,2.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75460,0,0
L1,O75469,30,5,25,4182,82,4100,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75469,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75469/O75469_pocket.lmdb,3,9025971371081492786,20260908,3.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75469,16,16
L1,O75762,30,5,25,765,15,750,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75762,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75762/O75762_pocket.lmdb,3,15422755394773325928,20260908,4.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75762,0,0
L1,O75874,30,5,25,1479,29,1450,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O75874,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O75874/O75874_pocket.lmdb,3,10940256162873321156,20260908,5.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O75874,0,0
L1,O76074,30,5,25,2754,54,2700,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O76074,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O76074/O76074_pocket.lmdb,3,16002499129599018719,20260908,6.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O76074,0,0
L1,O76083,30,5,25,765,15,750,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O76083,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O76083/O76083_pocket.lmdb,3,8134156139445534671,20260908,7.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O76083,0,0
L1,O95271,30,5,25,969,19,950,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O95271,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O95271/O95271_pocket.lmdb,3,4532047958073785638,20260908,0.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O95271,0,0
L1,O95819,30,5,25,816,16,800,/data/user_data/xianyang/t3-smoke-30-L123-20260908/L1/O95819,ready,,/data/user_data/xianyang/t3-aimnet-full/vs-benchmark/dataset/pockets_6A/L1/O95819/O95819_pocket.lmdb,3,2106419962652919283,20260908,1.0,250,/data/user_data/xianyang/t3-smoke-L123-20260908/L1/O95819,0,0
