layer,uniprot,n,n_actives,n_decoys,source_n,source_n_actives,source_n_decoys,sampling_seed,status,reason,smina_n_scored,smina_coverage,smina_sample_failure_last_auroc,smina_sample_failure_last_ef1,smina_sample_failure_last_top_n,smina_sample_failure_last_top_active_expected,smina_scored_only_auroc,smina_scored_only_ef1,smina_scored_only_top_n,smina_scored_only_top_active_expected,pre_min_interaction_n_scored,pre_min_interaction_coverage,pre_min_interaction_sample_failure_last_auroc,pre_min_interaction_sample_failure_last_ef1,pre_min_interaction_sample_failure_last_top_n,pre_min_interaction_sample_failure_last_top_active_expected,pre_min_interaction_scored_only_auroc,pre_min_interaction_scored_only_ef1,pre_min_interaction_scored_only_top_n,pre_min_interaction_scored_only_top_active_expected,interaction_n_scored,interaction_coverage,interaction_sample_failure_last_auroc,interaction_sample_failure_last_ef1,interaction_sample_failure_last_top_n,interaction_sample_failure_last_top_active_expected,interaction_scored_only_auroc,interaction_scored_only_ef1,interaction_scored_only_top_n,interaction_scored_only_top_active_expected,composite_n_scored,composite_coverage,composite_sample_failure_last_auroc,composite_sample_failure_last_ef1,composite_sample_failure_last_top_n,composite_sample_failure_last_top_active_expected,composite_scored_only_auroc,composite_scored_only_ef1,composite_scored_only_top_n,composite_scored_only_top_active_expected
L1,O75116,30,5,25,1734,34,1700,15417156316058348493,complete,,30.0,1.0,0.528,0.0,1.0,0.0,0.528,0.0,1.0,0.0,30.0,1.0,0.48,0.0,1.0,0.0,0.48,0.0,1.0,0.0,30.0,1.0,0.464,0.0,1.0,0.0,0.464,0.0,1.0,0.0,30.0,1.0,0.416,0.0,1.0,0.0,0.416,0.0,1.0,0.0
L1,O75385,30,5,25,510,10,500,7098996424376647940,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O75417,30,5,25,510,10,500,17930097278361666937,complete,,30.0,1.0,0.488,0.0,1.0,0.0,0.488,0.0,1.0,0.0,30.0,1.0,0.52,0.0,1.0,0.0,0.52,0.0,1.0,0.0,30.0,1.0,0.472,6.0,1.0,1.0,0.472,6.0,1.0,1.0,30.0,1.0,0.52,6.0,1.0,1.0,0.52,6.0,1.0,1.0
L1,O75460,30,5,25,1734,34,1700,14068176265985637521,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O75469,30,5,25,4182,82,4100,9025971371081492786,complete,,30.0,1.0,0.456,0.0,1.0,0.0,0.456,0.0,1.0,0.0,30.0,1.0,0.392,0.0,1.0,0.0,0.392,0.0,1.0,0.0,30.0,1.0,0.608,0.0,1.0,0.0,0.608,0.0,1.0,0.0,30.0,1.0,0.616,0.0,1.0,0.0,0.616,0.0,1.0,0.0
L1,O75762,30,5,25,765,15,750,15422755394773325928,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O75874,30,5,25,1479,29,1450,10940256162873321156,complete,,30.0,1.0,0.696,6.0,1.0,1.0,0.696,6.0,1.0,1.0,30.0,1.0,0.592,6.0,1.0,1.0,0.592,6.0,1.0,1.0,30.0,1.0,0.376,0.0,1.0,0.0,0.376,0.0,1.0,0.0,30.0,1.0,0.464,0.0,1.0,0.0,0.464,0.0,1.0,0.0
L1,O76074,30,5,25,2754,54,2700,16002499129599018719,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O76083,30,5,25,765,15,750,8134156139445534671,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O95271,30,5,25,969,19,950,4532047958073785638,complete,,29.0,0.9666666666666667,0.784,6.0,1.0,1.0,0.775,5.8,1.0,1.0,29.0,0.9666666666666667,0.704,0.0,1.0,0.0,0.6916666666666667,0.0,1.0,0.0,29.0,0.9666666666666667,0.496,0.0,1.0,0.0,0.475,0.0,1.0,0.0,29.0,0.9666666666666667,0.584,0.0,1.0,0.0,0.5666666666666667,0.0,1.0,0.0
L1,O95819,30,5,25,816,16,800,2106419962652919283,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,O96013,30,5,25,1071,21,1050,17336496537451553048,complete,,30.0,1.0,0.504,0.0,1.0,0.0,0.504,0.0,1.0,0.0,30.0,1.0,0.528,0.0,1.0,0.0,0.528,0.0,1.0,0.0,30.0,1.0,0.56,0.0,1.0,0.0,0.56,0.0,1.0,0.0,30.0,1.0,0.592,6.0,1.0,1.0,0.592,6.0,1.0,1.0
L1,O96028,30,5,25,1122,22,1100,3048111964267687210,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P00338,30,5,25,561,11,550,4333119216344094730,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P00352,30,5,25,510,10,500,16378012723470056894,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,P00491,30,5,25,1326,26,1300,8608087045306276228,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
