layer,uniprot,mol_id,paff,pocket_charge,smina_affinity_kcal_mol,error,aimnet_interaction_kcal_mol,pre_minimization_interaction_kcal_mol,complex_ev,pocket_ev,ligand_ev,initial_complex_ev,minimization_steps,final_max_force_ev_A,converged,initial_min_heavy_contact_A,final_min_heavy_contact_A,eint_rank,smina_rank
L1,P00338,6096,9.0,1,-7.31329,,-65.09032660515975,-32.984528241010985,-469983.3164821254,-395179.9145291231,-74800.57936929428,-469979.2486303021,684,0.0014207129133865,True,2.973636030097248,2.866985059119246,6.0,6.0
L1,P00338,37515,9.0,1,-7.06622,,-82.7277658718086,-52.63308502025981,-466214.9679238048,-395179.9145291231,-71031.46597921882,-466210.5552545053,1000,0.0126366382464766,False,2.796694696497257,2.796962127143067,3.0,9.0
L1,P00338,43836,9.0,1,-7.21428,,-50.92970766068752,-34.52803413640441,-466867.69175915903,-395179.9145291231,-71685.56870888398,-466862.4878226757,964,0.0018141992622986,True,2.856599719513393,2.91676005118076,10.0,7.0
L1,P00338,47131,9.0,1,-7.67474,,-90.2883603647007,-40.83013340838133,-470960.8330158002,-395179.9145291231,-75777.00321280649,-470955.85974054143,938,0.0018173239659518,True,2.635474231425306,2.80304089110412,1.0,1.0
L1,P00338,69006,9.0,1,-7.44617,,-74.06326792928442,-31.68922625649049,-468914.518058042,-395179.9145291231,-73731.39184164796,-468908.9756558253,513,0.0018344948766753,True,2.8899291121373505,2.7344287814079733,5.0,4.0
L1,P00338,69523,9.0,1,-7.44585,,-63.50032710572672,-44.5011453529518,-468948.0822833317,-395179.9145291231,-73765.41411940467,-468944.53234267497,535,0.0019444138742983,True,3.0005342117274245,2.7707319112982782,8.0,5.0
L1,P00338,69524,9.0,1,-7.53697,,-64.03995055202773,-41.31113235406762,-469983.6218413542,-395179.9145291231,-74800.93027713975,-469979.0709364712,489,0.0014822725206613,True,2.8614502876982995,2.985478296331423,7.0,3.0
L1,P00338,69525,9.0,1,-7.09597,,-76.3377505874531,-46.49101254180337,-466248.950723732,-395179.9145291231,-71065.7258764349,-466245.0995172369,662,0.0011564078740775,True,2.802913444054953,2.8295323943722703,4.0,8.0
L1,P00338,69526,9.0,1,-7.5511,,-88.7366654708467,-51.41447829440287,-468261.18154906185,-395179.9145291231,-73077.41903392725,-468256.8048654731,550,0.0019116919720545,True,2.798159850296594,2.7955885896993133,2.0,2.0
L1,P00338,69527,7.6021,1,-5.93535,,-55.11504282114685,-19.92932547090189,-492905.1067722712,-395179.9145291231,-97722.80222868592,-492902.61100189335,390,0.001873112283647,True,2.718146929599568,2.559454860287305,9.0,10.0
L1,P06239,15824,6.0,-3,-8.60385,,-54.27932464217794,-47.42170273531623,-570142.5830452663,-489577.1920215263,-80563.0372494481,-570138.6159101251,659,0.0019431459950283,True,2.9706521636111,3.0327616181750656,10.0,5.0
L1,P06239,16292,8.684,-3,-9.57475,,-55.041282105983,-34.08003205418573,-529945.8370145223,-489577.1920215263,-40366.25817710116,-529944.0989552161,498,0.0015671618748456,True,2.8966502317714937,3.0490266463714293,9.0,1.0
L1,P06239,16940,6.2907,-3,-8.65182,,-78.83944681790595,-52.59030234535052,-556600.513472266,-489577.1920215263,-67019.90264874957,-556596.4995032992,575,0.0019977639894932,True,2.755199686944457,2.8931749737113672,1.0,4.0
L1,P06239,18189,7.301,-3,-7.90557,,-70.07680215980322,-17.168123397383,-520680.7020732587,-489577.1920215263,-31100.471233978627,-520677.9898909122,898,0.0019262480782344,True,2.6972753362593087,2.5811089703343395,6.0,10.0
L1,P06239,31540,7.301,-3,-8.14524,,-75.22394199837736,-8.732022615752598,-522602.2583961001,-489577.1920215263,-33021.8043557115,-522598.54394771904,529,0.0019935455638915,True,2.774203442164404,2.6809335262839777,3.0,8.0
L1,P06239,43152,8.8239,-3,-8.06649,,-72.25989570611316,-39.776238455299925,-551115.0991428636,-489577.1920215263,-61534.77363568747,-551112.0560669933,637,0.0018002350116148,True,2.8363370454467907,2.956552625800424,5.0,9.0
L1,P06239,72037,8.585,-3,-9.22569,,-73.08649856048262,-59.6266413175994,-533624.0600088625,-489577.1920215263,-44043.698656794,-533622.3632907743,687,0.0015204916708171,True,2.758564987678121,2.7907288237700896,4.0,2.0
L1,P06239,72174,8.8239,-3,-8.2862,,-76.35442405475897,-55.3582681718358,-550679.3112436202,-489577.1920215263,-61098.80818088992,-550677.2033347415,530,0.0019739856943488,True,2.894552427642977,2.786452817521927,2.0,7.0
L1,P06239,102288,7.1249,-3,-8.48188,,-55.09532955485047,0.9494758235850456,-522381.74503409775,-489577.1920215263,-32802.16385295742,-522379.0593618287,352,0.0019802839960902,True,2.804071195652436,2.8003916921654017,8.0,6.0
L1,P06239,104832,7.301,-3,-8.89375,,-64.8519428300314,-17.671864602165606,-532748.7404674066,-489577.1920215263,-43168.73619947113,-532746.4840059864,1000,0.0887887179851532,False,2.699823692794,2.607876222637503,7.0,3.0
L1,P08922,1812,8.8539,-2,-10.84173,,-59.8144196816668,-48.27395758438635,-517959.958577762,-476415.4512092189,-41541.91356981283,-517957.7671764303,450,0.0018519192235544,True,2.7964349347895854,2.9042645859728515,5.0,1.0
L1,P08922,1814,6.0,-2,-7.82838,,-79.26666836126596,-54.52423355890024,-513643.74848647305,-476415.4512092189,-37224.85994918445,-513641.27271483134,359,0.0014561384450644,True,2.814870887155396,2.605943474093189,2.0,8.0
L1,P08922,16940,8.7212,-2,-7.85232,,-68.36529464201827,-49.84875597927376,-543438.3791142495,-476415.4512092189,-67019.96330526723,-543435.2686924578,909,0.0019173846812918,True,3.019076063227572,2.730822027325523,4.0,7.0
L1,P08922,38653,8.699,-2,-9.5219,,-37.05610830135264,-29.870625052546973,-512321.2155074905,-476415.4512092189,-35904.157393328445,-512319.9569344293,407,0.0019648794550448,True,3.105255689038763,2.998820980171687,10.0,3.0
L1,P08922,44625,6.067,-2,-8.48171,,-53.154098044798005,-35.22493530409776,-513068.68608632864,-476415.4512092189,-36650.92989726127,-513066.36340627656,716,0.0019719651900231,True,3.054261145290569,2.825387168426237,8.0,6.0
L1,P08922,52639,6.0,-2,-8.79407,,-117.46829586656744,-50.63094659026368,-522271.47929189645,-476415.4512092189,-45850.934175250506,-522268.35016118607,565,0.0019050209084525,True,2.9768615675753973,2.4999371127103043,1.0,5.0
L1,P08922,62123,6.0,-2,-7.07653,,-54.04133511917736,-45.2185062443035,-511985.4562278382,-476415.4512092189,-35567.66156452982,-511983.94948671473,317,0.0019967674743384,True,2.970515425917078,2.77892668466888,7.0,9.0
L1,P08922,62474,9.6091,-2,-10.42418,,-78.89609575379517,-24.26262218408551,-516891.0567461784,-476415.4512092189,-40472.184278439,-516887.5770802549,565,0.0019404345657676,True,2.9280273184617363,2.727440879210106,3.0,2.0
L1,P08922,70772,6.699,-2,-7.05744,,-49.73802383177134,-30.5861364819338,-542464.8273745629,-476415.4512092189,-66047.21932049375,-542462.2590537941,1000,0.0053812614642083,False,2.861297901239307,2.922031044745711,9.0,10.0
L1,P08922,100526,7.9208,-2,-8.91311,,-56.378996379556575,-24.76833750273451,-527562.768382953,-476415.4512092189,-51144.87234905808,-527559.7885385256,990,0.0016672133933752,True,3.045348390124605,2.731844677986748,6.0,4.0
L1,P0C6U8,20305,6.0458,-3,-6.53317,,-64.0444645507168,-52.659448524353145,-636466.5934058627,-595148.5756568993,-41315.24051812655,-636462.7903472058,288,0.0019272177014499,True,3.1230634486304454,2.7420621398059244,5.0,10.0
