model,dataset,geometry,reference,n,mae,rmse,bias,max_abs_error,pearson,spearman
aimnet2_2025_default,KIN66,matched_complex_coordinates,int_b973c,66,2.762693648716849,3.491174726837856,2.613385641388483,7.938965404169124,0.9765711055747838,0.9560379918588875
aimnet2_2025_default,KIN66,matched_complex_coordinates,int_wb97m,66,10.838172824267273,11.446161899468596,10.838172824267273,21.679935732746216,0.9625486235147905,0.9451414257384407
aimnet2_2025_default,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,17.374859582371336,17.89409639206001,17.374859582371336,24.289134332746215,0.940637034571869,0.918796992481203
aimnet2_2025_default,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,11.998740859526118,12.07849763087817,11.998740859526118,15.347863265109964,0.9786507039176532,0.9687875150060024
aimnet2_2025_default,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,0.7874331020225984,0.9554122800774848,0.06891705744908902,3.0162922427462178,0.9962023446481995,0.9903559127439727
aimnet2_2025_default,KIN66,released_xyz,int_b973c,66,2.763982402350519,3.49361019855,2.6099755494414194,7.962672407358376,0.9763994465468727,0.9562884876317714
aimnet2_2025_default,KIN66,released_xyz,int_wb97m,66,10.834762732320206,11.444957303511995,10.834762732320206,21.67758970632451,0.962351612283505,0.945350172215844
aimnet2_2025_default,KIN66,released_xyz,int_wb97m_dzvpd,20,17.382043827171877,17.901493736738903,17.382043827171877,24.28678830632451,0.9405383779567724,0.918796992481203
aimnet2_2025_default,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,11.991868856265542,12.072035433993445,11.991868856265542,15.29809807597016,0.978546682334204,0.969267707082833
aimnet2_2025_default,KIN66,released_xyz,AIMNet2_2025_interaction,66,0.7924137381620865,0.9580632151286707,0.06550696550202546,3.0139462163245128,0.9961753055024933,0.990314163448492
aimnet2_2025_default,PLA15,matched_complex_coordinates,int_b973c,15,4.167851839729246,5.396435802187517,3.0030650721614913,11.942517614991743,0.9977050121649063,0.982142857142857
aimnet2_2025_default,PLA15,matched_complex_coordinates,int_wb97m,15,17.714250618161493,19.062932551549224,17.714250618161493,34.53598841499175,0.9951689409514506,0.95
aimnet2_2025_default,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,21.123706250161497,22.692303515966717,21.123706250161497,36.74321471499175,0.9927948519699565,0.95
aimnet2_2025_default,PLA15,matched_complex_coordinates,AIMNet2_2025_interaction,15,1.7898483934242628,2.3102612414173542,0.08500038416149304,5.786794275214746,0.9995610641399718,0.9892857142857142
aimnet2_2025_default,PLA15,matched_complex_coordinates,PLA15_reference_interaction,15,9.418525008828162,10.956217444363743,9.418525008828162,20.922081714991748,0.996432679756482,0.9749999999999999
aimnet2_2025_default,PLA15,released_xyz,int_b973c,15,4.168007758603667,5.396572323545699,3.003121250990958,11.942699316176657,0.9977048808293698,0.982142857142857
aimnet2_2025_default,PLA15,released_xyz,int_wb97m,15,17.71430679699096,19.06294143603546,17.71430679699096,34.53617011617666,0.9951691354574816,0.95
aimnet2_2025_default,PLA15,released_xyz,int_wb97m_dzvpd,15,21.123762428990965,22.69231844192476,21.123762428990965,36.743396416176665,0.9927950488503836,0.95
aimnet2_2025_default,PLA15,released_xyz,AIMNet2_2025_interaction,15,1.789801048856368,2.310210029688033,0.08505656299095961,5.786721717158585,0.9995610844440969,0.9892857142857142
aimnet2_2025_default,PLA15,released_xyz,PLA15_reference_interaction,15,9.418581187657628,10.956215635492168,9.418581187657628,20.922263416176662,0.9964328038642889,0.9749999999999999
aimnet2_2025_ensemble,KIN66,matched_complex_coordinates,int_b973c,66,2.7537736176129237,3.223154610262478,2.6794225225084154,7.565802138728202,0.9853727045747858,0.9754096649619041
aimnet2_2025_ensemble,KIN66,matched_complex_coordinates,int_wb97m,66,10.904209705387203,11.393928894155728,10.904209705387203,19.638233058728204,0.9678947346841736,0.9523640538565914
aimnet2_2025_ensemble,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,16.657886225652533,17.13585747401053,16.657886225652533,23.02264721872821,0.9479649864724566,0.918796992481203
aimnet2_2025_ensemble,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,12.346918698552471,12.462946151907417,12.346918698552471,16.354306732582423,0.9698814673219528,0.9490996398559424
aimnet2_2025_ensemble,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,0.13540758614044976,0.14533706260976118,0.13495393856902133,0.2673626837483951,0.9999857499800566,0.9996660056361552
aimnet2_2025_ensemble,KIN66,released_xyz,int_b973c,66,2.754394791130288,3.224873824793587,2.6762863816536746,7.5744590585458695,0.9852401607752946,0.9755349128483458
aimnet2_2025_ensemble,KIN66,released_xyz,int_wb97m,66,10.90107356453246,11.392634939665005,10.90107356453246,19.64688997854587,0.9677358004569347,0.9526562989249558
aimnet2_2025_ensemble,KIN66,released_xyz,int_wb97m_dzvpd,20,16.664716213676055,17.142768175309673,16.664716213676055,23.031304138545877,0.9478859484043656,0.918796992481203
aimnet2_2025_ensemble,KIN66,released_xyz,int_wb97m_dzvpd_estimated,50,12.340632707127432,12.457194177490356,12.340632707127432,16.314037316496268,0.969732089969912,0.9506362545018008
aimnet2_2025_ensemble,KIN66,released_xyz,AIMNet2_2025_interaction,66,0.13181779771428026,0.13460358676913592,0.13181779771428026,0.2040903815359627,0.9999965148132717,0.9996242563406744
aimnet2_2025_ensemble,PLA15,matched_complex_coordinates,int_b973c,15,4.024346154091302,4.769313390975847,2.948835958082767,10.117289426007574,0.9985172256472891,0.9928571428571428
aimnet2_2025_ensemble,PLA15,matched_complex_coordinates,int_wb97m,15,17.660021504082767,19.016319097638608,17.660021504082767,32.71076022600758,0.9958985481990038,0.9678571428571429
aimnet2_2025_ensemble,PLA15,matched_complex_coordinates,int_wb97m_dzvpd,15,21.06947713608277,22.446596231249522,21.06947713608277,34.91798652600758,0.9943654005691093,0.9749999999999999
aimnet2_2025_ensemble,PLA15,matched_complex_coordinates,AIMNet2_2025_interaction,15,0.030771270082768847,0.041229352050098284,0.030771270082768847,0.11576602993596907,0.9999999148185342,1.0
aimnet2_2025_ensemble,PLA15,matched_complex_coordinates,PLA15_reference_interaction,15,9.364295894749436,10.563492435699553,9.364295894749436,19.09685352600758,0.9974319845716441,0.9892857142857142
aimnet2_2025_ensemble,PLA15,released_xyz,int_b973c,15,4.024703859871831,4.769570236419978,2.9491654485156102,10.117336013148815,0.9985170983922026,0.9928571428571428
aimnet2_2025_ensemble,PLA15,released_xyz,int_wb97m,15,17.66035099451561,19.016557615670017,17.66035099451561,32.71080681314882,0.9958986255613478,0.9678571428571429
aimnet2_2025_ensemble,PLA15,released_xyz,int_wb97m_dzvpd,15,21.069806626515614,22.446909778574952,21.069806626515614,34.91803311314882,0.9943652027502248,0.9749999999999999
aimnet2_2025_ensemble,PLA15,released_xyz,AIMNet2_2025_interaction,15,0.03110076051561208,0.04138045057024751,0.03110076051561208,0.11555441482832407,0.9999999161508483,1.0
aimnet2_2025_ensemble,PLA15,released_xyz,PLA15_reference_interaction,15,9.36462538518228,10.563771929716857,9.36462538518228,19.09690011314882,0.997431939962717,0.9892857142857142
aimnet2_2025_full_coulomb,KIN66,matched_complex_coordinates,int_b973c,66,2.7627256137803586,3.491192380284844,2.6135338206573366,7.939174948023165,0.9765743318221213,0.9560379918588875
aimnet2_2025_full_coulomb,KIN66,matched_complex_coordinates,int_wb97m,66,10.838321003536125,11.446269744349397,10.838321003536125,21.68013964128697,0.9625518093933966,0.9451414257384407
aimnet2_2025_full_coulomb,KIN66,matched_complex_coordinates,int_wb97m_dzvpd,20,17.3747790128405,17.894048468807014,17.3747790128405,24.28933824128697,0.9406336573828078,0.918796992481203
aimnet2_2025_full_coulomb,KIN66,matched_complex_coordinates,int_wb97m_dzvpd_estimated,50,11.998944509325026,12.07869123683291,11.998944509325026,15.347237458922706,0.9786530945149354,0.9687875150060024
aimnet2_2025_full_coulomb,KIN66,matched_complex_coordinates,AIMNet2_2025_interaction,66,0.7873779959086346,0.9554605536870495,0.06906523671794296,3.0164961512869723,0.996201950233253,0.9903559127439727
