dataset,target,mol_id,aimnet_interaction_kcal_mol_delta,desolvation_kcal_mol_delta,local_strain_kcal_mol_delta,aimnet2_composite_kcal_mol_delta
t3,L1/P35354,110734,-1.7954347530412704,0.3072441337126737,0.0,-1.4881906193286056
t3,L1/P35354,138737,7.892864684076066,-28.239613259707227,0.0,-20.346748575631167
t3,L1/P35354,138741,6.74616561438819,-164.08632820002762,0.0,-157.34016258563943
t3,L1/P49327,11097,37.19791389328887,-1.6571271985159477,0.0,35.54078669477292
t3,L1/P49327,14505,-7.4812910187575055,-1.5839012458234158,0.0,-9.065192264580922
t3,L1/P49327,28757,15.50363164291352,-1.7896291434348086,0.0,13.714002499478712
t3,L1/P49327,41520,27.045044988155958,-3.161386252159559e-05,0.0,27.04501337429344
t3,L1/P49327,47919,6.3790039533518845,0.8288508730521862,0.0,7.20785482640407
t3,L1/P49327,74367,-20.409190771626236,1.0765386133231285,0.0,-19.332652158303112
t3,L1/P49327,90544,12.395805806258334,1.3316885996647247,0.0,13.727494405923057
t3,L1/P49327,111741,16.20345500359923,-0.7598323131064291,0.0,15.443622690492802
t3,L1/P49327,114434,6.687606786498965,-1.401262463978231,0.0,5.286344322520737
t3,L1/P49327,141820,19.625341541426437,-2.271945349724124,0.0,17.35339619170231
t3,L1/P49759,474,11.393468361540537,1.6494189141624815e-05,0.0,11.393484855729678
t3,L1/P49759,1812,8.952991585915164,-7.559836689452482e-05,0.0,8.952915987548263
t3,L1/P49759,1813,7.9622942202076885,-39.667191604391846,0.0,-31.704897384184164
t3,L1/P49759,1814,-12.354478927100352,-0.5725105560608963,0.0,-12.926989483161249
t3,L1/P49759,4296,-7.304808348709194,-2.7490315236633478e-05,0.0,-7.304835839024435
t3,L1/P49759,60031,-10.488266573456396,0.6721560762104097,0.0,-9.816110497245988
t3,L1/P49759,94228,0.1166922646269839,-1.0996126095008663e-05,0.0,0.11668126850089067
t3,L1/P49759,114565,1.1876750862477627,-4.535902013991233e-05,0.0,1.187629727227625
