task_id	layer	uniprot	target_dir	n_ligands
60	L3	Q00961	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q00961	10
61	L3	Q15878	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q15878	10
62	L3	Q16665	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q16665	10
63	L3	Q62645	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q62645	10
64	L3	Q92830	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q92830	10
65	L3	Q96LB1	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q96LB1	10
66	L3	Q9HCR9	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9HCR9	10
67	L3	Q9NPC1	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9NPC1	10
68	L3	Q9NR22	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9NR22	10
69	L3	Q9UKS7	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9UKS7	10
70	L3	Q9Y4K4	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9Y4K4	10
71	L3	Q9Y6M4	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L3/Q9Y6M4	10
72	L4	O00767	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/O00767	10
73	L4	O75747	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/O75747	10
74	L4	O94782	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/O94782	10
75	L4	P09871	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P09871	10
76	L4	P24863	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P24863	10
77	L4	P37059	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P37059	10
78	L4	P42226	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P42226	10
79	L4	P43341	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P43341	10
80	L4	P50052	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/P50052	10
81	L4	Q08211	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q08211	10
82	L4	Q08828	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q08828	10
83	L4	Q13094	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q13094	10
84	L4	Q13724	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q13724	10
85	L4	Q15726	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q15726	10
86	L4	Q6SZW1	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q6SZW1	10
87	L4	Q70CQ3	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q70CQ3	10
88	L4	Q8TDU9	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q8TDU9	10
89	L4	Q96PC2	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q96PC2	10
90	L4	Q99705	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q99705	10
91	L4	Q9GZQ6	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q9GZQ6	10
92	L4	Q9HB14	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q9HB14	10
93	L4	Q9NY59	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q9NY59	10
94	L4	Q9Y239	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q9Y239	10
95	L4	Q9Y4K0	/home/xianyang/aimnet2_score_pipelines/work/correction-20260906/t3/L4/Q9Y4K0	10
